,Unnamed: 0.1,Unnamed: 0,Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period,t,o,tao,Cubic,Tetra,Ortho,Hex,PBE,HSE,Expt,Decomp(PBE),Decomp(HSE),Band gap(HSE-mf1),A_En_mull,B_En_mull,X_En_mull,x(S),CBM,VBM,n_abs(%),n_cu(%),n_STH(%)
400,16080,16080,5759,CsCa0.125Ge0.125Pb0.750Cl3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.75,1.0,0.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.13,2125.25,740.92,9.37,169.49,78.0,705.61,8.62,194.55,2.12,68.0,5.5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17.0,3.0,0.8538194126572257,0.6243093922651933,4.168920735694784,1,0,0,0,0,1,0,-0.233346487675,-0.2033944720799992,2.367361067925003,2.1826697585,4.0607845615,8.290921785,5.504036268195147,-0.11964426576735465,2.2477168021576484,35.02,38.32,13.419664000000001
1384,37625,37625,14356,MABa0.125Ca0.250Sn0.625I3,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.13,0.0,0.63,0.0,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.15,2496.5,718.95,5.4,101.38,30.13,653.19,7.63,237.67,1.59,43.25,4.88,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9224049653090186,0.5227272727272726,3.884791295178731,0,0,1,0,0,1,0,0.0026541744750664,-0.0249749970918108,2.263429098950001,4.845206607,3.541066738,6.755968955,5.555227763858443,-0.016486785616558253,2.2469423133334425,39.82,33.7,13.419340000000002
146,4311,4311,1862,MABa0.250Ca0.125Pb0.125Sn0.500I3,0.0,0.0,0.0,1.0,0.0,0.13,0.0,0.25,0.0,0.5,0.13,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.2,2430.0,717.14,6.17,124.6,41.75,643.19,7.26,221.81,1.62,51.75,5.25,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9088401864074152,0.5454545454545454,3.885859002390142,1,0,0,0,0,1,0,0.0118624018099348,-0.0265043190590747,2.2628055188250067,4.845206607,3.5494618210000004,6.755968955,5.557859311830108,-0.013543447582395673,2.249262071242611,39.82,33.7,13.419340000000002
2968,67255,67255,23126,CsCa0.375Ge0.250Pb0.250Sn0.125Br3,0.0,0.0,1.0,0.0,0.0,0.38,0.0,0.0,0.25,0.13,0.25,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.03,2300.88,933.18,5.66,99.82,14.13,679.15,13.24,222.35,1.71,42.25,4.63,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8750150803980687,0.5255102040816326,4.124800123392641,0,0,0,1,0,1,0,-0.2314967199299997,-0.2460197659299997,2.4490409283750023,2.1826697585,3.592680952,7.589258675,5.093319851490605,-0.5712006126968963,1.877840315678106,31.56,42.52,13.419312
2486,62685,62685,21681,FABa0.375Pb0.375Sn0.125Sr0.125I3,0.0,0.0,0.0,0.0,1.0,0.0,0.13,0.38,0.0,0.13,0.38,0.0,0.0,1.0,2.53,319.0,354.0,1.1,45.06,8.6,849.1,6.5,29.0,2.57,91.0,8.0,1.28,2104.25,794.38,6.83,154.99,15.88,614.16,6.72,172.7,1.57,62.75,5.75,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9610962859230948,0.5818181818181818,3.619661043740922,0,0,0,1,0,1,0,0.0545633780517743,-0.0381964494495326,2.4459739021000058,4.444730055,3.2649617859999998,6.755968955,5.372263249050111,-0.29072370199989184,2.155250200100114,31.56,42.52,13.419312
999,28871,28871,10425,FABa0.375Ca0.125Pb0.125Sn0.375I3,0.0,0.0,0.0,0.0,1.0,0.13,0.0,0.38,0.0,0.38,0.13,0.0,0.0,1.0,2.53,319.0,354.0,1.1,45.06,8.6,849.1,6.5,29.0,2.57,91.0,8.0,1.24,2330.25,779.25,5.7,126.92,20.13,617.48,7.37,203.04,1.49,52.5,5.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9722718241315028,0.5636363636363636,3.635362965368481,0,1,0,0,0,1,0,0.1372782573062495,0.0764997802346774,2.447644050524993,4.444730055,3.3041906615,6.755968955,5.385111315116784,-0.27871071014571247,2.1689333403792803,31.56,42.52,13.419312
2209,58648,58648,19971,FASn0.625Sr0.375I3,0.0,0.0,0.0,0.0,1.0,0.0,0.38,0.0,0.0,0.63,0.0,0.0,0.0,1.0,2.53,319.0,354.0,1.1,45.06,8.6,849.1,6.5,29.0,2.57,91.0,8.0,1.19,2418.13,706.45,5.52,107.05,12.63,648.94,7.57,232.82,1.58,45.5,5.0,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9866121165228228,0.5409090909090909,3.667440633759303,0,0,0,1,0,1,0,0.0016892622597004,-0.0454668395043074,2.445525546300003,4.444730055,3.4283549755,6.755968955,5.42498849726562,-0.23777427588438216,2.2077512704156206,31.56,42.52,13.419312
1829,50126,50126,18448,CsCa0.125Ge0.750Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.0,0.75,0.0,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.93,2756.75,1177.88,4.5,70.42,49.5,713.99,25.94,287.17,1.75,31.25,4.13,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.9052924188201472,0.4744897959183674,4.094118631422381,0,0,1,0,0,1,0,-0.2415997217824999,-0.2306118574275001,2.447562218975,2.1826697585,3.9565197035,7.589258675,5.192540424501237,-0.47124068498626337,1.9763215339887366,31.56,42.52,13.419312
2962,67201,67201,23120,CsCa0.250Ge0.625Pb0.125Br3,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.63,0.0,0.13,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.94,2634.0,1110.27,5.13,81.3,49.75,713.2,22.6,269.84,1.8,35.25,4.25,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.902170720824216,0.4795918367346938,4.091248834223286,0,0,0,1,0,1,0,-0.2659701665199998,-0.2708468416750002,2.4466684575999995,2.1826697585,3.9537213425,7.589258675,5.191805702254308,-0.47152852654569255,1.975139931054307,31.56,42.52,13.419312
484,16243,16243,5860,CsCa0.250Ge0.375Pb0.250Sn0.125Cl3,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.38,0.13,0.25,1.0,0.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.02,2469.63,945.62,6.13,103.89,48.63,700.69,16.15,244.8,1.83,43.75,4.63,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17.0,3.0,0.8870067396509693,0.56353591160221,3.968552667862132,1,0,0,0,0,1,0,-0.3227405378150007,-0.2082809232624999,2.4475383461750044,2.1826697585,3.8830886380000003,8.290921785,5.455000037898368,-0.20876913518913454,2.23876921098587,31.56,42.52,13.419312
