,Unnamed: 0.1,Unnamed: 0,Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period,t,o,tao,Cubic,Tetra,Ortho,Hex,PBE,HSE,Expt,Decomp(PBE),Decomp(HSE),Band gap(HSE-mf1),A_En_mull,B_En_mull,X_En_mull,x(S),CBM,VBM,n_abs(%),n_cu(%),n_STH(%)
235,20536,20536,7713,MABa0.125Ca0.125Ge0.250Sn0.375Sr0.125I3,0.0,0.0,0.0,1.0,0.0,0.13,0.13,0.13,0.25,0.38,0.0,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.11,2541.5,886.8,5.03,95.8,28.38,661.52,13.74,246.44,1.59,41.0,4.75,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9335518531073148,0.5045454545454545,3.898227129819544,0,1,0,0,0,1,0,0.0448212218096465,0.0142527437996792,2.359046440374995,4.845206607,3.5751652849999997,6.755968955,5.5658855555151,-0.0536376646723975,2.305408775702597,35.43,34.23,12.127688999999998
3,77,77,72,RbCa0.250Ge0.625Sn0.125Cl3,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.63,0.13,0.0,1.0,0.0,0.0,1.61,961.0,312.63,1.53,85.47,46.89,403.0,2.34,69.2,0.82,37.0,5.0,0.94,2740.63,1098.33,4.63,70.24,51.13,712.34,22.91,283.9,1.75,31.25,4.13,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17.0,3.0,0.8793837060574518,0.5193370165745856,4.108463444949021,1,0,0,0,0,1,0,-0.16681530045975,0.0203970132909692,2.411409259024989,2.3313974635,3.9564160605,8.290921785,5.548113614897613,-0.09759101461488218,2.3138182444101068,33.26,36.14,12.020164
19,2261,2261,1375,MACa0.250Ge0.250Sn0.375Sr0.125I3,0.0,0.0,0.0,1.0,0.0,0.25,0.13,0.0,0.25,0.38,0.0,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.06,2501.38,900.55,4.78,83.64,15.38,672.39,13.81,248.24,1.61,36.5,4.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9478701330629486,0.4818181818181818,3.932818632677178,1,0,0,0,0,1,0,0.032993483253723,0.0155654737884287,2.3809363810999944,4.845206607,3.5641273055,6.755968955,5.562444475851884,-0.0680237146981133,2.312912666401881,34.41,34.93,12.019413
209,18448,18448,6934,MAGe0.375Sn0.250Sr0.375I3,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.0,0.38,0.25,0.0,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.09,2504.75,971.34,4.78,89.76,12.25,669.0,16.8,249.29,1.6,38.75,4.63,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.939226940360247,0.4954545454545454,3.909681448903449,0,1,0,0,0,1,0,0.0333507777492946,-0.0019640022923655,2.403279039025002,4.845206607,3.5303396875,6.755968955,5.551857957344537,-0.08978156216796429,2.3134974768570373,33.43,35.95,12.018085000000001
802,61371,61371,21385,FABa0.125Ge0.750Sr0.125I3,0.0,0.0,0.0,0.0,1.0,0.0,0.13,0.13,0.75,0.0,0.0,0.0,0.0,1.0,2.53,319.0,354.0,1.1,45.06,8.6,849.1,6.5,29.0,2.57,91.0,8.0,0.99,2796.88,1164.13,4.76,82.58,62.5,703.13,25.88,285.36,1.74,35.75,4.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,1.0484686755524668,0.4499999999999999,3.9459121408131903,0,0,0,1,0,1,0,0.0602163012882124,0.019188146040449,2.3311881908500065,4.444730055,3.9676095045,6.755968955,5.58582659556589,-0.019767499859113746,2.311420690990893,36.64,32.8,12.017919999999998
699,50884,50884,18572,CsBa0.250Ge0.750Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.01,2849.75,1159.13,4.89,88.79,77.0,697.3,25.85,285.78,1.73,38.0,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8809074378418269,0.5153061224489796,4.107834568849016,0,0,1,0,0,1,0,-0.1221707779532499,-0.1083836708463249,2.510489772625,2.1826697585,4.012538745,7.589258675,5.2071617392611,-0.4880831470514009,2.0224066255735993,28.73,41.83,12.017758999999998
837,62652,62652,21675,FABa0.375Sn0.625I3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.0,0.63,0.0,0.0,0.0,1.0,2.53,319.0,354.0,1.1,45.06,8.6,849.1,6.5,29.0,2.57,91.0,8.0,1.25,2576.75,691.45,5.91,125.69,56.13,631.46,7.5,234.06,1.56,52.25,5.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.9694536449311216,0.5681818181818181,3.6306135417488794,0,0,0,1,0,1,0,-0.0050611071583653,-0.0547783353610745,2.511073825224993,4.444730055,3.5631945185,6.755968955,5.467006262955127,-0.22853064965737024,2.2825431755676227,28.73,41.83,12.017758999999998
22,2367,2367,1413,MACa0.375Sn0.625I3,0.0,0.0,0.0,1.0,0.0,0.38,0.0,0.0,0.0,0.63,0.0,0.0,0.0,1.0,2.17,267.0,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73.0,7.0,1.09,2456.38,732.7,5.15,89.22,17.13,664.05,7.7,239.48,1.6,38.75,4.63,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53.0,5.0,0.939226940360247,0.4954545454545454,3.909681448903449,1,0,0,0,0,1,0,-0.0244494489064503,-0.0391751194322419,2.401710034524997,4.845206607,3.529976937,6.755968955,5.551743859427164,-0.08911115783533474,2.3125988766896626,33.67,35.69,12.016822999999999
1077,66953,66953,22968,CsGeBr1.250Cl1.750,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.583,0.417,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.87,3107.0,1211.5,5.32,72.61,120.0,762.1,31.8,334.3,2.01,32.0,4.0,1.87,277.79,211.25,3.17,53.97,338.72,1204.77,4.08,12.09,3.08,24.5,3.42,0.931626087621692,0.4652406417112299,4.0348153691342485,0,0,0,1,0,1,0,-0.4599896950950007,-0.3345826547174995,2.4690174544250025,2.1826697585,4.571174515,7.9985967035,5.515837288974767,-0.15867143823773455,2.310346016187268,30.7,39.14,12.015979999999999
1004,66880,66880,22895,CsGeBr0.125Cl2.375I0.500,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.792,0.042,0.167,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.87,3107.0,1211.5,5.32,72.61,120.0,762.1,31.8,334.3,2.01,32.0,4.0,1.88,279.43,211.83,3.5,52.55,338.88,1206.02,4.05,12.17,3.07,23.75,3.38,0.9308096537801098,0.4627659574468085,4.046309622007811,0,0,0,1,0,1,0,-0.4403582064500005,-0.3018707988174999,2.466600880024997,2.1826697585,4.571174515,8.005903535,5.518860014191981,-0.15444042582051787,2.312160454204479,30.7,39.14,12.015979999999999
