"Wavelength","Global"
"644.0","1.45E+0"
"645.0","1.46E+0"
"646.0","1.42E+0"
"647.0","1.41E+0"
"648.0","1.40E+0"
"649.0","1.35E+0"
"650.0","1.36E+0"
"651.0","1.44E+0"
"652.0","1.39E+0"
"653.0","1.43E+0"
"654.0","1.42E+0"
"655.0","1.35E+0"
"656.0","1.19E+0"
"657.0","1.24E+0"
"658.0","1.39E+0"
"659.0","1.39E+0"
"660.0","1.40E+0"
"661.0","1.39E+0"
"662.0","1.38E+0"
"663.0","1.38E+0"
"664.0","1.40E+0"
"665.0","1.42E+0"
"666.0","1.42E+0"
"667.0","1.41E+0"
"668.0","1.42E+0"
"669.0","1.44E+0"
"670.0","1.42E+0"
"671.0","1.42E+0"
"672.0","1.40E+0"
"673.0","1.41E+0"
"674.0","1.41E+0"
"675.0","1.40E+0"
"676.0","1.41E+0"
"677.0","1.40E+0"
"678.0","1.41E+0"
"679.0","1.39E+0"
"680.0","1.40E+0"
"681.0","1.39E+0"
"682.0","1.40E+0"
"683.0","1.38E+0"
"684.0","1.37E+0"
"685.0","1.37E+0"
"686.0","1.34E+0"
"687.0","9.68E-1"
"688.0","1.12E+0"
"689.0","1.13E+0"
"690.0","1.18E+0"
"691.0","1.23E+0"
"692.0","1.27E+0"
"693.0","1.26E+0"
"694.0","1.25E+0"
"695.0","1.27E+0"
"696.0","1.27E+0"
"697.0","1.34E+0"
"698.0","1.32E+0"
"699.0","1.29E+0"
"700.0","1.28E+0"
"701.0","1.27E+0"
"702.0","1.27E+0"
"703.0","1.27E+0"
"704.0","1.31E+0"
"705.0","1.32E+0"
"706.0","1.31E+0"
"707.0","1.31E+0"
"708.0","1.30E+0"
"709.0","1.31E+0"
"710.0","1.32E+0"
"711.0","1.32E+0"
"712.0","1.31E+0"
"713.0","1.29E+0"
"714.0","1.30E+0"
"715.0","1.26E+0"
"716.0","1.27E+0"
"717.0","1.11E+0"
"718.0","1.03E+0"
"719.0","9.23E-1"
"720.0","9.86E-1"
"721.0","1.09E+0"
"722.0","1.24E+0"
"723.0","1.14E+0"
"724.0","1.06E+0"
"725.0","1.04E+0"
"726.0","1.08E+0"
"727.0","1.08E+0"
"728.0","1.04E+0"
"729.0","1.05E+0"
"730.0","1.13E+0"
"731.0","1.07E+0"
"732.0","1.15E+0"
"733.0","1.20E+0"
"734.0","1.24E+0"
"735.0","1.22E+0"
"736.0","1.21E+0"
"737.0","1.20E+0"
"738.0","1.23E+0"
"739.0","1.19E+0"
"740.0","1.22E+0"
"741.0","1.21E+0"
"742.0","1.22E+0"
"743.0","1.24E+0"
"744.0","1.25E+0"
"745.0","1.25E+0"
"746.0","1.25E+0"
"747.0","1.25E+0"
"748.0","1.24E+0"
"749.0","1.24E+0"
"750.0","1.23E+0"
"751.0","1.23E+0"
"752.0","1.23E+0"
"753.0","1.23E+0"
"754.0","1.24E+0"
"755.0","1.24E+0"
"756.0","1.22E+0"
"757.0","1.22E+0"
"758.0","1.23E+0"
"759.0","1.19E+0"
"760.0","2.66E-1"
"761.0","1.54E-1"
"762.0","6.88E-1"
"763.0","3.80E-1"
"764.0","5.39E-1"
"765.0","6.86E-1"
"766.0","8.15E-1"
"767.0","9.74E-1"
"768.0","1.11E+0"
"769.0","1.13E+0"
"770.0","1.16E+0"
"771.0","1.17E+0"
"772.0","1.18E+0"
"773.0","1.18E+0"
"774.0","1.18E+0"
"775.0","1.18E+0"
"776.0","1.18E+0"
"777.0","1.17E+0"
"778.0","1.17E+0"
"779.0","1.18E+0"
"780.0","1.16E+0"
"781.0","1.16E+0"
"782.0","1.17E+0"
"783.0","1.16E+0"
"784.0","1.15E+0"
"785.0","1.16E+0"
"786.0","1.16E+0"
"787.0","1.15E+0"
"788.0","1.13E+0"
"789.0","1.13E+0"
"790.0","1.09E+0"
"791.0","1.11E+0"
"792.0","1.10E+0"
"793.0","1.09E+0"
"794.0","1.10E+0"
"795.0","1.09E+0"
"796.0","1.07E+0"
"797.0","1.09E+0"
"798.0","1.11E+0"
"799.0","1.09E+0"
"800.0","1.07E+0"
"801.0","1.08E+0"
"802.0","1.09E+0"
"803.0","1.07E+0"
"804.0","1.08E+0"
"805.0","1.05E+0"
"806.0","1.10E+0"
"807.0","1.09E+0"
"808.0","1.08E+0"
"809.0","1.05E+0"
"810.0","1.06E+0"
"811.0","1.05E+0"
"812.0","1.03E+0"
"813.0","1.01E+0"
"814.0","9.04E-1"
"815.0","8.95E-1"
"816.0","8.32E-1"
"817.0","8.52E-1"
"818.0","8.23E-1"
"819.0","9.05E-1"
"820.0","8.62E-1"
"821.0","9.98E-1"
"822.0","9.52E-1"
"823.0","6.73E-1"
"824.0","9.35E-1"
"825.0","9.69E-1"
"826.0","9.34E-1"
"827.0","9.85E-1"
"828.0","8.50E-1"
"829.0","9.29E-1"
"830.0","9.16E-1"
"831.0","9.24E-1"
"832.0","8.94E-1"
"833.0","9.57E-1"
"834.0","9.34E-1"
"835.0","1.00E+0"
"836.0","9.72E-1"
"837.0","1.01E+0"
"838.0","9.99E-1"
"839.0","1.00E+0"
"840.0","1.02E+0"
"841.0","1.01E+0"
"842.0","9.97E-1"
"843.0","1.01E+0"
"844.0","9.86E-1"
"845.0","1.02E+0"
"846.0","1.02E+0"
"847.0","9.92E-1"
"848.0","9.92E-1"
"849.0","9.86E-1"
"850.0","8.94E-1"
"851.0","9.75E-1"
"852.0","9.69E-1"
"853.0","9.65E-1"
"854.0","8.51E-1"
"855.0","9.13E-1"
"856.0","9.73E-1"
"857.0","9.92E-1"
"858.0","9.92E-1"
"859.0","9.92E-1"
"860.0","9.88E-1"
"861.0","9.87E-1"
"862.0","9.94E-1"
"863.0","1.00E+0"
"864.0","9.79E-1"
"865.0","9.63E-1"
"866.0","8.49E-1"
"867.0","9.15E-1"
"868.0","9.59E-1"
"869.0","9.50E-1"
"870.0","9.68E-1"
"871.0","9.54E-1"
"872.0","9.67E-1"
"873.0","9.57E-1"
"874.0","9.40E-1"
"875.0","9.27E-1"
"876.0","9.53E-1"
"877.0","9.56E-1"
"878.0","9.52E-1"
"879.0","9.37E-1"
"880.0","9.40E-1"
"881.0","9.09E-1"
"882.0","9.32E-1"
"883.0","9.29E-1"
"884.0","9.33E-1"
"885.0","9.44E-1"
"886.0","9.08E-1"
"887.0","9.11E-1"
"888.0","9.22E-1"
"889.0","9.35E-1"
"890.0","9.24E-1"
"891.0","9.26E-1"
"892.0","9.09E-1"
"893.0","8.73E-1"
"894.0","8.51E-1"
"895.0","8.14E-1"
"896.0","7.63E-1"
"897.0","6.66E-1"
"898.0","7.18E-1"
"899.0","5.49E-1"
"900.0","7.43E-1"
"901.0","5.99E-1"
"902.0","6.68E-1"
"903.0","6.89E-1"
"904.0","8.45E-1"
"905.0","8.17E-1"
"906.0","7.76E-1"
"907.0","6.39E-1"
"908.0","6.52E-1"
"909.0","7.04E-1"
"910.0","6.25E-1"
"911.0","6.68E-1"
"912.0","6.89E-1"
"913.0","6.28E-1"
"914.0","6.26E-1"
"915.0","6.78E-1"
"916.0","5.76E-1"
"917.0","7.30E-1"
"918.0","5.93E-1"
"919.0","7.39E-1"
"920.0","7.44E-1"
"921.0","7.80E-1"
"922.0","7.00E-1"
"923.0","7.45E-1"
"924.0","7.22E-1"
"925.0","7.11E-1"
"926.0","7.03E-1"
"927.0","7.87E-1"
"928.0","5.90E-1"
"929.0","5.51E-1"
"930.0","4.32E-1"
"931.0","4.09E-1"
"932.0","3.01E-1"
"933.0","2.48E-1"
"934.0","1.44E-1"
"935.0","2.51E-1"
"936.0","1.61E-1"
"937.0","1.63E-1"
"938.0","2.01E-1"
"939.0","3.99E-1"
"940.0","4.72E-1"
"941.0","3.72E-1"
"942.0","4.05E-1"
"943.0","2.78E-1"
"944.0","2.86E-1"
"945.0","3.68E-1"
"946.0","1.95E-1"
"947.0","3.71E-1"
"948.0","2.74E-1"
"949.0","4.94E-1"
"950.0","1.47E-1"
"951.0","4.84E-1"
"952.0","2.69E-1"
"953.0","3.44E-1"
"954.0","4.24E-1"
"955.0","3.41E-1"
"956.0","3.28E-1"
"957.0","2.71E-1"
"958.0","4.61E-1"
"959.0","3.74E-1"
"960.0","4.21E-1"
"961.0","4.61E-1"
"962.0","4.42E-1"
"963.0","5.05E-1"
"964.0","4.59E-1"
"965.0","5.04E-1"
"966.0","5.03E-1"
"967.0","5.02E-1"
"968.0","6.52E-1"
"969.0","6.86E-1"
"970.0","6.35E-1"
"971.0","7.14E-1"
"972.0","6.88E-1"
"973.0","6.06E-1"
"974.0","5.75E-1"
"975.0","5.90E-1"
"976.0","5.72E-1"
"977.0","6.39E-1"
"978.0","6.15E-1"
"979.0","6.38E-1"
"980.0","6.05E-1"
"981.0","7.13E-1"
"982.0","6.92E-1"
"983.0","6.69E-1"
"984.0","7.37E-1"
"985.0","6.88E-1"
"986.0","7.51E-1"
"987.0","7.39E-1"
"988.0","7.35E-1"
"989.0","7.49E-1"
"990.0","7.32E-1"
"991.0","7.54E-1"
"992.0","7.51E-1"
"993.0","7.37E-1"
"994.0","7.54E-1"
"995.0","7.52E-1"
"996.0","7.49E-1"
"997.0","7.40E-1"
"998.0","7.39E-1"
"999.0","7.39E-1"
"1000.0","7.35E-1"
"1001.0","7.44E-1"
"1002.0","7.28E-1"
"1003.0","7.34E-1"
"1004.0","7.23E-1"
"1005.0","6.82E-1"
"1006.0","7.13E-1"
"1007.0","7.28E-1"
"1008.0","7.27E-1"
"1009.0","7.20E-1"
"1010.0","7.19E-1"
"1011.0","7.23E-1"
"1012.0","7.19E-1"
"1013.0","7.18E-1"
"1014.0","7.21E-1"
"1015.0","7.08E-1"
